studentId,identifier,count
610700002,Save Document,22
610700002,Text Change,79
810002010,Save Document,7
810002010,Text Change,18
810002033,Save Document,101
810002033,Text Change,1807
810003038,Save Document,309
810003038,Text Change,514
810003060,Save Document,117
810003060,Text Change,166
810101385,Save Document,141
810101385,Text Change,441
810101446,Save Document,208
810101446,Text Change,318
810101524,Save Document,200
810101524,Text Change,409
810103347,Save Document,2
810103347,Text Change,2
810103366,Save Document,460
810103366,Text Change,1943
810103377,Save Document,545
810103377,Text Change,965
810103382,Save Document,19
810103382,Text Change,93
810103391,Save Document,133
810103391,Text Change,419
810103397,Save Document,205
810103397,Text Change,725
810103413,Save Document,78
810103413,Text Change,511
810103414,Save Document,161
810103414,Text Change,659
810103422,Text Change,1
810103424,Save Document,496
810103424,Text Change,1481
810103425,Save Document,67
810103425,Text Change,179
810103434,Save Document,44
810103434,Text Change,320
810103448,Save Document,899
810103448,Text Change,700
810103460,Save Document,252
810103460,Text Change,585
810103468,Save Document,25
810103468,Text Change,106
810103474,Save Document,46
810103474,Text Change,263
810103476,Save Document,155
810103476,Text Change,625
810103480,Save Document,380
810103480,Text Change,428
810103482,Save Document,292
810103482,Text Change,586
810103485,Save Document,18
810103485,Text Change,26
810103490,Save Document,145
810103490,Text Change,663
810103494,Save Document,137
810103494,Text Change,646
810103496,Save Document,249
810103496,Text Change,395
810103498,Save Document,7
810103498,Text Change,30
810103504,Save Document,494
810103504,Text Change,536
810103506,Save Document,278
810103506,Text Change,335
810103510,Save Document,21
810103510,Text Change,98
810103515,Save Document,91
810103515,Text Change,447
810103522,Save Document,154
810103522,Text Change,595
810103525,Save Document,123
810103525,Text Change,215
810103526,Save Document,3
810103526,Text Change,5
810103547,Save Document,118
810103547,Text Change,125
810103554,Save Document,396
810103554,Text Change,487
810103558,Save Document,382
810103558,Text Change,404
810103560,Save Document,163
810103560,Text Change,707
810103561,Save Document,42
810103561,Text Change,371
810103562,Save Document,19
810103562,Text Change,144
810103564,Save Document,19
810103564,Text Change,38
810103567,Save Document,93
810103567,Text Change,115
810103569,Save Document,43
810103569,Text Change,241
810103575,Save Document,29
810103575,Text Change,123
810103580,Save Document,279
810103580,Text Change,608
810103582,Save Document,15
810103582,Text Change,15
810103583,Save Document,284
810103583,Text Change,380
810103588,Save Document,636
810103588,Text Change,641
810103597,Save Document,198
810103597,Text Change,493
810103598,Save Document,8
810103598,Text Change,9
810103599,Save Document,611
810103599,Text Change,629
810103602,Save Document,28
810103602,Text Change,124
