student_id,phase1,phase2,phase3,grade
810102376,0,0,0,0
810102378,60.8,47.425,54.45,54.23
810101609,31.02,57.5875,16,34.87
810101596,29.425,29,0,19.48
810102383,0,0,0,0
810102384,86,86.5,110,94.17
810102575,0,0,0,0
810102393,0,0,0,0
810102396,0,0,0,0
810102572,32.45,40,0,24.15
810102397,14.3,0,0,4.77
810102398,96.5,95.5,94,95.33
810101603,0,0,0,0
810102404,23,30.5,18.75,24.08
810102405,38.5,68.5,60,55.67
810102408,86,79,110,91.67
810102410,68,90.25,0,52.75
810102411,56.5,56,16,42.83
810102541,97,100,110,102.33
810102352,0,0,0,0
810102415,99.5,92.5,75,89
810100101,0,0,0,0
810102581,0,0,0,0
810102420,0,0,0,0
810102423,0,0,0,0
810100576,0,0,0,0
810102422,61.5,0,0,20.5
810198372,0,0,0,0
810102366,0,0,0,0
810102367,0,0,0,0
810102425,60,61.5,53.25,58.25
810102589,40.15,45.05,0,28.4
810102543,99,98.2,107.5,101.57
810100108,53.35,83.75,0,45.7
810102427,100,95.5,110,101.83
810102428,92.5,100,105,99.17
810101601,58.5,28.7,0,29.07
810000019,0,0,0,0
810102429,83.5,82.5,105,90.33
810198379,31.35,13.40625,0,14.92
810102432,42.625,70.25,69.75,60.88
810102433,39.4625,30.5,0,23.32
810102552,81,94,110,95
810101579,56,29.375,0,28.46
810102553,0,0,0,0
810102544,57.5,62.5,0,40
810102566,42.075,45.05,0,29.04
810102583,0,0,0,0
810102441,94,89.875,64.75,82.88
810102442,99,100,110,103
810199567,0,0,0,0
810102556,93.5,0,0,31.17
810002010,0,0,0,0
810102557,0,0,0,0
810102446,0,0,0,0
810102448,0,0,0,0
810199422,60,65.5,86.5,70.67
810102576,40.425,62.75,63,55.39
810102454,96,97.75,110,101.25
810102536,0,0,0,0
810102455,0,0,0,0
810199429,0,0,0,0
810102597,0,0,0,0
810102538,63.5,59.5,0,41
810102562,0,0,0,0
810102459,49.225,0,0,16.41
810001014,0,0,0,0
810100578,0,0,0,0
810102460,90.5,94,0,61.5
810002018,0,0,0,0
810102560,73,56.375,55,61.46
810102467,100,97,110,102.33
810102469,95,100,110,101.67
810102586,0,0,0,0
810100586,0,0,0,0
810102470,99,95.5,110,101.5
810102471,94.5,95.5,65,85
810102573,90,100,110,100
810101556,35,19.975,0,18.33
810102472,0,0,0,0
810102588,98,98.5,107,101.17
810102567,69,58.875,105,77.63
810102579,78.5,59.5,61,66.33
810102474,81.45,63.325,110,84.93
810102476,82,68.5,0,50.17
810102506,53.55,38.85,86.25,59.55
810101604,96.25,90.5,110,98.92
810199456,93.9,91.2,105,96.7
810102574,67,0,0,22.33
810101611,0,0,0,0
810102582,0,0,0,0
810100189,38.5,39.5,32.5,36.83
810102479,48.4,62.5,47,52.63
810100191,0,0,0,0
810102480,99,98.5,107,101.5
810102482,97.5,100,110,102.5
810102483,95.5,91,110,98.83
810102485,42.15,28,110,60.05
440299101,0,0,0,0
810102491,100,90,110,100
810102580,49,0,0,16.33
810102494,94.5,95.5,110,100
810102495,96.5,95.5,110,100.67
810102499,100,100,110,103.33
810102500,86.5,97.5,69.7,84.57
810102501,99.5,95.5,0,65
810102504,68,55,67.75,63.58
810102578,42.35,32.2,0,24.85
810102358,0,0,0,0
810102510,81.5,70,85,78.83
810102570,0,0,0,0
220701095,0,0,0,0
810102511,0,0,0,0
810102549,99.5,82,110,97.17
810102512,0,0,0,0
810102564,76,26.25,49.5,50.58
810102539,61,60.125,0,40.38
810102559,86,52.0625,57,65.02
810102585,81.75,59.5,60.5,67.25
810102351,0,0,0,0
810101590,0,0,0,0
810199494,76,70,110,85.33
810102515,81,61,110,84
810199582,0,0,0,0
810102519,95.5,79,84,86.17
810198522,0,0,0,0
811902142,68,70,32.5,56.83
810100217,0,0,0,0
810102550,96,98.5,110,101.5
810002017,0,0,0,0
810102520,0,0,0,0
810102568,0,0,0,0
810102584,0,0,0,0
810102529,95,96.25,110,100.42
810101587,31.35,50,0,27.12
810199508,42.35,31.625,30,34.66
810102571,0,0,0,0
810102563,51.3,41.225,17,36.51
810002003,89,70,0,53
810102532,83.5,67.5,66.5,72.5
220702105,70,0,0,23.33
810101589,0,0,0,0
